"","spp","sex","SV_length","weight"
"1","CNTI","M",92,26
"2","CNTI","M",91,24
"3","CNTI","F",93,25
"4","CNTI","M",94,24
"5","CNTI","F",90,22
"6","UTST","F",42,3
"7","CNTE","F",86,16
"8","CNTI","M",70,9
"9","CNTI","F",82,16
"10","CNTI","F",94,21
"11","CNTI","F",87,19
"12","CNTI","F",100,26
"13","CNTI","F",75,16
"14","CNTI","F",84,17
"15","CNTI","M",92,20
"16","CNTI","M",90,22
"17","CNTI","M",90,24
"18","CNTI","M",96,26
"19","UTST","F",46,4
"20","CNTI","M",97,28
"21","PHCO","F",60,14
"22","CNTI","M",76,12
"23","HOMA","M",62,7
"24","CNTE","F",82,16
"25","CNTI","F",90,21
"26","UTST","F",47,4
"27","CNTI","M",90,20
"28","CNTI","F",96,30
"29","CNTI","M",90,22
"30","CNNE","F",63,8
"31","UTST","F",46,5
"32","SCUN","F",60,8
"33","UTST","F",50,5
"34","CNTI","M",100,26
"35","UTST","M",52,6
"36","CNTI","F",85,27
"37","CNTI","M",92,24
"38","CNTI","F",86,16
"39","COTE","M",58,6
"40","CNTI","F",67,8
"41","CNTI","M",89,17
"42","UTST","F",46,4
"43","CNTI","F",80,19
"44","CNTI","F",75,12
"45","UTST","M",49,4
"46","UTST","M",56,6
"47","CNTI","M",80,14
"48","CNTI","F",90,22
"49","CNTI","M",92,24
"50","CNTI","M",90,18
"51","CNTI","M",88,20
"52","CNTI","F",75,10
"53","CNTI","M",90,22
"54","SCUN","M",67,8
"55","CNTI","F",80,19
"56","EUOB","F",97,30
"57","UTST","M",52,7
"58","CNTI","F",81,19
"59","UTST","F",50,7
"60","CNTI","F",82,12
"61","CNTI","F",85,13
"62","CNTI","M",78,16
"63","CNTI","F",71,13
"64","CNTI","M",76,16
"65","CNTI","F",85,20
"66","UTST","F",50,5
"67","CNTE","F",80,15
"68","UTST","F",46,5
"69","CNTI","M",97,34
"70","UTST","M",47,6
"71","CNTI","F",75,16
"72","CNTI","F",80,22
"73","UTST","F",50,8
"74","CNTE","F",45,18
"75","UTST","F",46,4
"76","CNTI","M",88,23
"77","UTST","F",45,4
"78","UTST","M",51,6
"79","CNTI","F",95,20
"80","CNTI","M",83,15
"81","UTST","F",47,4
"82","UTST","F",45,5
"83","CNTE","F",70,12
"84","SCUN","F",58,9
"85","SCUN","F",61,12
"86","CNTI","M",80,16
"87","UTST","F",48,5
"88","UTST","M",50,6
"89","CNTI","M",94,26
"90","UTST","F",42,4
"91","UTST","F",48,4
"92","UTST","F",51,6
"93","UTST","M",44,3
"94","CNTI","F",85,21
"95","CNTI","F",76,17
"96","CNTI","F",80,17
"97","CNTE","F",76,14
"98","UTST","F",36,2
"99","UTST","M",36,3
"100","UTST","M",50,7
"101","CNTI","F",87,22
"102","CNTI","M",80,25
"103","UTST","F",33,3
"104","CNTI","F",86,17
"105","CNIN","F",60,8
"106","UTST","M",38,3
"107","UTST","F",30,2
"108","UTST","F",29,2
"109","UTST","F",35,3
"110","HOMA","F",60,8
"111","UTST","F",31,2
"112","UTST","M",37,4
"113","UTST","M",54,7
"114","UTST","F",45,5
"115","UTST","F",29,2
"116","UTST","F",30,2
"117","UTST","F",34,3
"118","UTST","F",34,2
"119","UTST","M",44,4
"120","CNTI","F",81,19
"121","UTST","F",31,2
"122","UTST","F",31,2
"123","UTST","F",31,2
